fecha de inicio :	2022-02-17
hora de inicio :	13:52:44,76288
tasa de muestreo :	100 Hz
	
tiempo desde inicio (s)	voltaje (V)
2,33955	0,27832
2,34959	0,28320
2,35964	0,28320
2,36968	0,27832
2,37972	0,28320
2,38976	0,28320
2,39980	0,28809
2,40984	0,28320
2,41988	0,27832
2,42992	0,27832
2,43996	0,28320
2,45000	0,27832
2,46005	0,28320
2,47009	0,27832
2,48013	0,27832
2,49017	0,28320
2,50021	0,27344
2,51025	0,27832
2,52029	0,27832
2,53033	0,28320
2,54037	0,29297
2,55042	0,27832
2,56046	0,28320
2,57050	0,28320
2,58054	0,27832
2,59058	0,27832
2,60062	0,28320
2,61066	0,28809
2,62070	0,27832
2,63074	0,28320
2,64078	0,28809
2,65083	0,28320
2,66087	0,27832
2,67091	0,29297
2,68095	0,28320
2,69099	0,28320
2,70103	0,27832
2,71107	0,27832
2,72111	0,28320
2,73115	0,27832
2,74119	0,28320
2,75124	0,27832
2,76128	0,27832
2,77132	0,28320
2,78136	0,28320
2,79140	0,27832
2,80144	0,29297
2,81148	0,28320
2,82152	0,28320
2,83156	0,27832
2,84160	0,28320
2,85165	0,27832
2,86169	0,27832
2,87173	0,28320
2,88177	0,27832
2,89181	0,28320
2,90185	0,28320
2,91189	0,27832
2,92193	0,28320
2,93197	0,27832
2,94201	0,28809
2,95206	0,27832
2,96210	0,28809
2,97214	0,28320
2,98218	0,27832
2,99222	0,28320
3,00226	0,28320
3,01230	0,28320
3,02234	0,28320
3,03238	0,27832
3,04242	0,28320
3,05247	0,27832
3,06251	0,27832
3,07255	0,28320
3,08259	0,28320
3,09263	0,27832
3,10267	0,28809
3,11271	0,28320
3,12275	0,27344
3,13279	0,28320
3,14283	0,28320
3,15288	0,28320
3,16292	0,28320
3,17296	0,28320
3,18300	0,28320
3,19304	0,28320
3,20308	0,28320
3,21312	0,28320
3,22316	0,28320
3,23320	0,28320
3,24324	0,27832
3,25329	0,28320
3,26333	0,27832
3,27337	0,27832
3,28341	0,28320
3,29345	0,27832
3,30349	0,27832
3,31353	0,27832
3,32357	0,27344
3,33361	0,28320
3,34365	0,28320
3,35370	0,28320
3,36374	0,28320
3,37378	0,27832
3,38382	0,27832
3,39386	0,28320
3,40390	0,28320
3,41394	0,28320
3,42398	0,27832
3,43402	0,29297
3,44406	0,28320
3,45411	0,27832
3,46415	0,28320
3,47419	0,27832
3,48423	0,27832
3,49427	0,28320
3,50431	0,28320
3,51435	0,27832
3,52439	0,29297
3,53443	0,27832
3,54447	0,27832
3,55452	0,28320
3,56456	0,27832
3,57460	0,28320
3,58464	0,27832
3,59468	0,28320
3,60472	0,28320
3,61476	0,28809
3,62480	0,27832
3,63484	0,27832
3,64488	0,29297
3,65493	0,28320
3,66497	0,28320
3,67501	0,27832
3,68505	0,27832
3,69509	0,28320
3,70513	0,27344
3,71517	0,27832
3,72521	0,28809
3,73525	0,27832
3,74529	0,28320
3,75534	0,28320
3,76538	0,28320
3,77542	0,28809
3,78546	0,27832
3,79550	0,28320
3,80554	0,27344
3,81558	0,27344
3,82562	0,28320
3,83566	0,27832
3,84570	0,28320
3,85575	0,28320
3,86579	0,27832
3,87583	0,28320
3,88587	0,27832
3,89591	0,27832
3,90595	0,27832
3,91599	0,28320
3,92603	0,28320
3,93607	0,27832
3,94611	0,28320
3,95616	0,28320
3,96620	0,27832
3,97624	0,27832
3,98628	0,28320
3,99632	0,27832
4,00636	0,28320
4,01640	0,27832
4,02644	0,27832
4,03648	0,27832
4,04652	0,27832
4,05657	0,27832
4,06661	0,27832
4,07665	0,28320
4,08669	0,28320
4,09673	0,27832
4,10677	0,28320
4,11681	0,27832
4,12685	0,28320
4,13689	0,28320
4,14693	0,27344
4,15698	0,28320
4,16702	0,28320
4,17706	0,28809
4,18710	0,28320
4,19714	0,26855
4,20718	0,27832
4,21722	0,28320
4,22726	0,27832
4,23730	0,27832
4,24734	0,27832
4,25739	0,27832
4,26743	0,27832
4,27747	0,27832
4,28751	0,28320
4,29755	0,27832
4,30759	0,28320
4,31763	0,28320
4,32767	0,27832
4,33771	0,27832
4,34775	0,28320
4,35780	0,27832
4,36784	0,27832
4,37788	0,28320
4,38792	0,28320
4,39796	0,27832
4,40800	0,28809
4,41804	0,27832
4,42808	0,27832
4,43812	0,27832
4,44816	0,28320
4,45821	0,28320
4,46825	0,29297
4,47829	0,28809
4,48833	0,28320
4,49837	0,28320
4,50841	0,27344
4,51845	0,28809
4,52849	0,27832
4,53853	0,27832
4,54857	0,28809
4,55862	0,28320
4,56866	0,28320
4,57870	0,27832
4,58874	0,28809
4,59878	0,28320
4,60882	0,28320
4,61886	0,27832
4,62890	0,27344
4,63894	0,27832
4,64898	0,27832
4,65903	0,28320
4,66907	0,28320
4,67911	0,28320
4,68915	0,28320
4,69919	0,27832
4,70923	0,28809
4,71927	0,27832
4,72931	0,28809
4,73935	0,27344
4,74939	0,28320
4,75944	0,28320
4,76948	0,28320
4,77952	0,27832
4,78956	0,27344
4,79960	0,28320
4,80964	0,28320
4,81968	0,27832
4,82972	0,28320
4,83976	0,28320
4,84980	0,27832
4,85985	0,28320
4,86989	0,27832
4,87993	0,28320
4,88997	0,28320
4,90001	0,28320
4,91005	0,29297
4,92009	0,27832
4,93013	0,29297
4,94017	0,26855
4,95021	0,28320
4,96026	0,28320
4,97030	0,27832
4,98034	0,28320
4,99038	0,27832
5,00042	0,27832
5,01046	0,28320
5,02050	0,27344
5,03054	0,28320
5,04058	0,27832
5,05063	0,27832
5,06067	0,28320
5,07071	0,27832
5,08075	0,28809
5,09079	0,28320
5,10083	0,27344
5,11087	0,28320
5,12091	0,28320
5,13095	0,27832
5,14099	0,27832
5,15104	0,27832
5,16108	0,27832
5,17112	0,28809
5,18116	0,27832
5,19120	0,27832
5,20124	0,28320
5,21128	0,27832
5,22132	0,29297
5,23136	0,27832
5,24140	0,27832
5,25145	0,28320
5,26149	0,28809
5,27153	0,28320
5,28157	0,28320
5,29161	0,27832
5,30165	0,28320
5,31169	0,27832
5,32173	0,28320
5,33177	0,28320
5,34181	0,28320
5,35186	0,28320
5,36190	0,28320
5,37194	0,28320
5,38198	0,27832
5,39202	0,27832
5,40206	0,27832
5,41210	0,27832
5,42214	0,28320
5,43218	0,27832
5,44222	0,28320
5,45227	0,28320
5,46231	0,27832
5,47235	0,28320
5,48239	0,27832
5,49243	0,27832
5,50247	0,28320
